"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
1617,NA,NA,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,9,2,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1629,NA,NA,NA,NA,"Grimsvotn","Iceland-NE","Iceland",64.416,-17.316,1719,"Caldera","true",2,"F",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1630,9,3,NA,NA,"Furnas","Azores","Portugal",37.77,-25.32,805,"Stratovolcano","true",4,"M,T",200,3,NA,NA,NA,NA,NA,NA,NA,NA,200,3,NA,NA,NA,NA,NA,NA,NA,NA
1631,2,14,NA,920,"Dama Ali","Africa-NE","Ethiopia",11.28,41.63,1068,"Shield volcano","true",NA,"S",50,1,NA,NA,NA,NA,NA,2,NA,NA,50,1,NA,NA,NA,NA,NA,2,NA,NA
1631,12,16,3129,9756,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",5,"P,E,M",4000,4,NA,NA,NA,NA,NA,4,NA,4,4000,4,NA,NA,NA,NA,NA,4,NA,4
1636,5,15,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1638,NA,NA,NA,NA,"Raung","Java","Indonesia",-8.119,114.056,3260,"Stratovolcano","true",4,"M",1001,4,NA,NA,NA,NA,NA,NA,NA,NA,1001,4,NA,NA,NA,NA,NA,NA,NA,NA
1640,7,31,253,942,"Hokkaido-Komagatake","Hokkaido-Japan","Japan",42.063,140.677,1131,"Stratovolcano","true",5,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,3,NA,NA,NA,NA,NA,1,20,1
1640,NA,NA,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"P",5000,4,NA,NA,NA,NA,NA,NA,NA,4,5000,4,NA,NA,NA,NA,NA,NA,NA,4
1646,7,19,5754,10519,"Kie Besi","Halmahera-Indonesia","Indonesia",0.32,127.4,1357,"Stratovolcano","true",4,"P",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1650,9,26,269,NA,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",4,"G,W,T",120,3,NA,NA,NA,NA,NA,1,NA,NA,120,3,NA,NA,NA,NA,NA,1,NA,NA
1659,9,30,NA,6879,"San Salvador","El Salvador","El Salvador",13.734,-89.294,1893,"Stratovolcano","true",3,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1659,11,11,285,NA,"Teon","Banda Sea","Pacific Ocean",-6.976,129.144,728,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1660,2,NA,NA,NA,"Teon","Banda Sea","Pacific Ocean",-6.976,129.144,728,"Stratovolcano","true",4,"G,T",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1660,10,27,NA,1017,"Guagua Pichincha","Ecuador","Ecuador",-0.171,-78.598,4784,"Stratovolcano","true",4,"P",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
1660,11,3,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1660,NA,NA,5482,NA,"Long Island","New Guinea-NE of","Papua New Guinea",-5.358,147.12,1280,"Complex volcano","true",6,"T,P,W,I",2000,4,NA,NA,NA,NA,NA,3,NA,3,2000,4,NA,NA,NA,NA,NA,3,NA,3
1663,8,16,NA,NA,"Toya","Hokkaido-Japan","Japan",42.544,140.839,733,"Stratovolcano","true",5,"T,P",5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
1664,4,15,NA,NA,"Unzendake","Kyushu-Japan","Japan",32.761,130.299,1483,"Complex volcano","true",2,"m",30,1,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA
1664,NA,NA,293,NA,"Io-Torishima","Ryukyu Is","Japan",27.881,128.223,212,"Complex volcano","true",NA,"A",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1
1669,3,11,NA,1057,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1669,3,19,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"L",2,1,NA,NA,5,1,NA,NA,NA,NA,2,1,NA,NA,5,1,NA,NA,NA,NA
1670,NA,NA,NA,NA,"Ambae","Vanuatu-SW Pacific","Vanuatu",-15.389,167.835,1496,"Shield volcano","true",2,"L",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1672,4,24,NA,NA,"Fayal","Azores","Portugal",38.576,-28.713,1041,"Stratovolcano","true",2,"",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1672,8,4,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",3,"P",3000,4,NA,NA,NA,NA,NA,NA,NA,NA,3000,4,NA,NA,NA,NA,NA,NA,NA,NA
1673,5,20,312,NA,"Gamkonora","Halmahera-Indonesia","Indonesia",1.38,127.53,1635,"Stratovolcano","true",5,"W",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,1
1677,11,22,NA,NA,"La Palma","Canary Is","Spain",28.57,-17.83,2426,"Stratovolcano","true",2,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1679,9,21,NA,8202,"Zukur","Red Sea","Yemen",14.02,42.75,624,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1682,8,12,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1684,12,NA,NA,NA,"Grimsvotn","Iceland-NE","Iceland",64.416,-17.316,1719,"Caldera","true",2,"F",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1690,2,3,3138,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1690,NA,NA,NA,NA,"Guntur","Java","Indonesia",-7.143,107.841,2251,"Complex volcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1692,6,4,NA,NA,"Serua","Banda Sea","Pacific Ocean",-6.312,130.017,608,"Stratovolcano","true",4,"L",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1693,1,9,NA,1129,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,2,13,347,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1694,11,20,NA,NA,"Banda Api","Banda Sea","Pacific Ocean",-4.523,129.881,596,"Caldera","true",3,"",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1698,5,NA,3141,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1698,NA,NA,NA,NA,"Ciremai","Java","Indonesia",-6.895,108.408,3039,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1698,NA,NA,NA,NA,"Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","true",3,"M",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1706,5,5,375,NA,"Tenerife","Canary Is","Spain",28.271,-16.641,3715,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
1707,5,NA,3148,NA,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1707,12,16,NA,1178,"Fujisan","Honshu-Japan","Japan",35.361,138.728,3776,"Stratovolcano","true",4,"",NA,1,NA,NA,NA,NA,NA,1,75,1,NA,1,NA,NA,NA,NA,NA,1,75,1
1711,12,11,NA,NA,"Awu","Sangihe Is-Indonesia","Indonesia",3.689,125.447,1318,"Stratovolcano","true",3,"P",3000,4,NA,NA,NA,NA,NA,NA,NA,NA,3000,4,NA,NA,NA,NA,NA,NA,NA,NA
1712,1,15,NA,NA,"Bardarbunga","Iceland-NE","Iceland",64.633,-17.516,2000,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1714,6,30,3150,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1716,7,20,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",2,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1716,9,24,387,1205,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",4,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,3
1716,10,5,NA,NA,"Bardarbunga","Iceland-NE","Iceland",64.633,-17.516,2000,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1716,11,9,NA,NA,"Kirishimayama","Kyushu-Japan","Japan",31.934,130.862,1700,"Shield volcano","true",3,"",1,1,NA,NA,31,1,NA,NA,NA,NA,1,1,NA,NA,31,1,NA,NA,NA,NA
1717,2,7,NA,NA,"Kirishimayama","Kyushu-Japan","Japan",31.934,130.862,1700,"Shield volcano","true",3,"",1,1,NA,NA,30,1,NA,NA,NA,NA,1,1,NA,NA,30,1,NA,NA,NA,NA
1717,8,4,NA,NA,"Bardarbunga","Iceland-NE","Iceland",64.633,-17.516,2000,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1717,8,27,6032,10893,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",4,"S",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3000,4
1718,2,1,NA,NA,"Pico","Azores","Portugal",38.47,-28.4,2351,"Stratovolcano","true",2,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1721,5,11,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",5,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1721,6,22,NA,NA,"Asamayama","Honshu-Japan","Japan",36.406,138.523,2568,"Complex volcano","true",1,"T",15,1,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA
1726,2,1,NA,NA,"Bardarbunga","Iceland-NE","Iceland",64.633,-17.516,2000,"Stratovolcano","true",1,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1727,8,3,NA,NA,"Oraefajokull","Iceland-SE","Iceland",64,-16.65,2010,"Stratovolcano","true",4,"F",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1729,2,1,NA,NA,"Bardarbunga","Iceland-NE","Iceland",64.633,-17.516,2000,"Stratovolcano","true",1,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1729,6,30,NA,NA,"Krafla","Iceland-NE","Iceland",65.715,-16.728,800,"Caldera","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1730,9,1,NA,NA,"Lanzarote","Canary Is","Spain",29.03,-13.63,670,"Fissure vent","true",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1730,NA,NA,NA,NA,"Raung","Java","Indonesia",-8.119,114.056,3260,"Stratovolcano","true",3,"M,T",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1730,NA,NA,NA,NA,"Tseax River Cone","Canada","Canada",55.111,-128.899,612,"Pyroclastic cone","true",NA,"G",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1737,5,20,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"T",2,1,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA
1741,8,23,419,NA,"Oshima-Oshima","Hokkaido-Japan","Japan",41.51,139.367,732,"Stratovolcano","true",4,"W,S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,4,NA,NA,NA,NA,NA,3,871,3
1742,6,15,NA,NA,"Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","true",3,"M",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1742,12,9,NA,NA,"Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","true",3,"M",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1749,8,11,431,1304,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,3
1753,10,15,NA,NA,"Grimsvotn","Iceland-NE","Iceland",64.416,-17.316,1719,"Caldera","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1754,11,28,2853,1328,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",4,"W,T",NA,1,NA,NA,NA,NA,NA,4,NA,4,12,1,NA,NA,NA,NA,NA,4,NA,4
1755,10,17,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"E",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1757,7,9,NA,1348,"Sao Jorge","Azores","Portugal",38.65,-28.08,1053,"Fissure vent","true",0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053,4,NA,NA,NA,NA,NA,3,NA,4
1760,NA,NA,NA,NA,"Kie Besi","Halmahera-Indonesia","Indonesia",0.32,127.4,1357,"Stratovolcano","true",4,"M",2000,4,NA,NA,NA,NA,NA,NA,NA,NA,2000,4,NA,NA,NA,NA,NA,NA,NA,NA
1762,NA,NA,NA,NA,"Klyuchevskoy","Kamchatka","Russia",56.056,160.642,4754,"Stratovolcano","true",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1766,4,5,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1766,7,20,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",3,"m",49,1,NA,NA,NA,NA,NA,NA,NA,NA,49,1,NA,NA,NA,NA,NA,NA,NA,NA
1768,4,4,NA,NA,"Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","true",4,"M",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1770,NA,NA,500,9532,"Dempo","Sumatra","Indonesia",-4.016,103.121,3142,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3
1772,5,9,504,NA,"Gamalama","Halmahera-Indonesia","Indonesia",0.81,127.332,1714,"Stratovolcano","true",3,"T",35,1,NA,NA,NA,NA,NA,NA,NA,NA,35,1,NA,NA,NA,NA,NA,NA,NA,NA
1772,8,12,NA,NA,"Papandayan","Java","Indonesia",-7.32,107.73,2665,"Stratovolcano","true",3,"A",2957,4,NA,NA,NA,NA,NA,NA,NA,3,2957,4,NA,NA,NA,NA,NA,NA,NA,3
1773,2,2,NA,NA,"Gamalama","Halmahera-Indonesia","Indonesia",0.81,127.332,1714,"Stratovolcano","true",2,"I",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1775,NA,NA,NA,NA,"Gamalama","Halmahera-Indonesia","Indonesia",0.81,127.332,1714,"Stratovolcano","true",3,"P,I",1300,4,NA,NA,NA,NA,NA,NA,NA,NA,1300,4,NA,NA,NA,NA,NA,NA,NA,NA
1775,NA,NA,NA,NA,"Lokon-Empung","Sulawesi-Indonesia","Indonesia",1.358,124.792,1580,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1778,NA,NA,NA,NA,"Raikoke","Kuril Is","Russia",48.292,153.25,551,"Stratovolcano","true",4,"T",15,1,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA
1779,8,8,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1779,11,8,NA,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",4,"T,W,I",153,3,NA,NA,NA,NA,NA,NA,NA,NA,153,3,NA,NA,NA,NA,NA,NA,NA,NA
1780,2,9,NA,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",4,"F",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1780,7,27,NA,NA,"Aogashima","Izu Is-Japan","Japan",32.458,139.759,423,"Stratovolcano","true",3,"",7,1,NA,NA,NA,NA,NA,NA,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,1
1780,9,9,525,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
1780,10,31,528,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,4,11,529,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",4,"W",23,1,NA,NA,NA,NA,NA,NA,NA,NA,38,1,NA,NA,NA,NA,NA,1,NA,NA
1783,4,10,NA,NA,"Aogashima","Izu Is-Japan","Japan",32.458,139.759,423,"Stratovolcano","true",3,"T",7,1,NA,NA,NA,NA,NA,NA,61,2,7,1,NA,NA,NA,NA,NA,NA,61,2
1783,8,5,NA,NA,"Asamayama","Honshu-Japan","Japan",36.406,138.523,2568,"Complex volcano","true",4,"F,P,I",1491,4,NA,NA,NA,NA,NA,NA,NA,NA,1491,4,NA,NA,NA,NA,NA,NA,NA,NA
1784,4,NA,NA,NA,"Grimsvotn","Iceland-NE","Iceland",64.416,-17.316,1719,"Caldera","true",4,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9350,4,NA,NA,NA,NA,NA,NA,NA,NA
1784,7,NA,NA,NA,"Coropuna","Peru","Peru",-15.52,-72.65,6377,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1784,NA,NA,NA,NA,"Hualalai","Hawaiian Is","United States",19.692,-155.87,2523,"Shield volcano","true",0,"L",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1785,4,18,NA,NA,"Aogashima","Izu Is-Japan","Japan",32.458,139.759,423,"Stratovolcano","true",3,"",135,3,NA,NA,NA,NA,NA,NA,NA,NA,135,3,NA,NA,NA,NA,NA,NA,NA,NA
1786,NA,NA,NA,NA,"Dieng Volcanic Complex","Java","Indonesia",-7.2,109.879,2565,"Complex volcano","true",2,"A",38,1,NA,NA,NA,NA,NA,NA,NA,2,38,1,NA,NA,NA,NA,NA,NA,NA,2
1789,NA,NA,NA,NA,"Izu-Oshima","Izu Is-Japan","Japan",34.724,139.394,746,"Stratovolcano","true",2,"T",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1790,11,NA,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",4,"P",5405,4,NA,NA,NA,NA,NA,NA,NA,NA,5405,4,NA,NA,NA,NA,NA,NA,NA,NA
1792,5,21,568,1515,"Unzendake","Kyushu-Japan","Japan",32.761,130.299,1483,"Complex volcano","true",2,"W,A",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15000,4,NA,NA,707,3,NA,4,6200,4
1794,6,15,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",3,"M,L,T,G",400,3,NA,NA,NA,NA,NA,3,NA,NA,400,3,NA,NA,NA,NA,NA,3,NA,NA
1797,NA,NA,577,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",2,"T,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1800,10,8,NA,NA,"Guntur","Java","Indonesia",-7.143,107.841,2251,"Complex volcano","true",NA,"M",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1800,10,30,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1800,NA,NA,NA,NA,"Kyejo","Africa-E","Tanzania",-9.229,33.792,2176,"Stratovolcano","true",2,"L",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1800,NA,NA,NA,NA,"St. Helens","US-Washington","United States",46.2,-122.18,2549,"Stratovolcano","true",5,"I",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1800,NA,NA,NA,NA,"Hualalai","Hawaiian Is","United States",19.692,-155.87,2523,"Shield volcano","true",0,"L",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1801,8,14,NA,NA,"Chokaisan","Honshu-Japan","Japan",39.099,140.049,2236,"Stratovolcano","true",2,"T",8,1,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA
1803,7,4,NA,NA,"Asamayama","Honshu-Japan","Japan",36.406,138.523,2568,"Complex volcano","true",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1803,11,7,NA,NA,"Asamayama","Honshu-Japan","Japan",36.406,138.523,2568,"Complex volcano","true",2,"T",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1804,NA,NA,NA,NA,"Shikotsu","Hokkaido-Japan","Japan",42.688,141.38,1320,"Caldera","true",3,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1805,8,11,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",2,"",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1808,5,1,NA,NA,"Sao Jorge","Azores","Portugal",38.65,-28.08,1053,"Fissure vent","true",1,"L",9,1,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA
1812,4,27,NA,NA,"Soufriere St. Vincent","W Indies","St. Vincent & the Grenadines",13.33,-61.18,1220,"Stratovolcano","true",4,"T, m",56,2,NA,NA,NA,NA,NA,1,NA,1,56,2,NA,NA,NA,NA,NA,1,NA,1
1812,8,6,NA,NA,"Awu","Sangihe Is-Indonesia","Indonesia",3.689,125.447,1318,"Stratovolcano","true",3,"P,M",953,3,NA,NA,NA,NA,NA,NA,NA,NA,953,3,NA,NA,NA,NA,NA,NA,NA,NA
1813,5,NA,3221,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
